leader,ability
Ramses II,"Receives  Culture equal to 15% of the  Production cost after completing a building, and 30% after completing a wonder."
Gilgamesh,"25%  Production increase when claiming Heroes, and Heroes have 20% more  Lifespan."
Victoria (Age of Steam),+10%  Production in cities for each Industrial Zone building in that city. +2  Production to all Strategic Resources.
Shaka,"May form Corps with Mercenaries, instead of Nationalism, and Armies with Nationalism, instead of Mobilization. Corps and Armies gain an additional +5  Combat Strength."
Teddy Roosevelt (Bull Moose),"Tiles with Breathtaking Appeal gain +2  Science when adjacent to a Natural Wonder or Mountain, and +2  Culture when adjacent to a Wonder or Woods. +1 Appeal in all tiles in cities with a National Park."
Cleopatra (Ptolemaic),"+1  Food and  Culture for resources on Floodplains. Owned Floodplains grant +1 Appeal to adjacent tiles, instead of the usual -1."
Chandragupta,"Can declare a War of Territorial Expansion with Military Training, instead of Mobilization. +2  Movement and +5  Combat Strength for all units for the next 10 turns after declaring a War of Territorial Expansion."
Tokugawa,"International  Trade Routes receive -25% yields and  Tourism, but domestic  Trade Routes gain +1  Culture, +1  Science, and +2  Gold for every specialty district at the destination. Cities within 6 tiles of Japan's  Capital are 100% loyal and, after researching Flight, gain +1  Tourism for every specialty district."
Robert the Bruce,"Can declare a War of Liberation with Defensive Tactics, instead of Diplomatic Service. +100%  Production and +2  Movement for all units for the next 10 turns after declaring a War of Liberation."
Simón Bolívar,"Entering a new era grants a Comandante General, a unique type of  Great Person."
Catherine de Medici (Black Queen),Gains +1 level of  Diplomatic Visibility with every encountered civilization. Receives a free Spy with Castles. All Spies start with a free promotion.
Catherine de Medici (Magnificence),"+2  Culture for improved Luxury resources adjacent to a Theater Square or Château. Cities with a Theater Square gain the unique Court Festival project, which upon completion grants  Culture and  Tourism based on the number of excess copies of the Luxury resources that France possesses."
John Curtin,+100%  Production if they have either received a declaration of war or liberated a city in the past 10 turns.
Menelik II,Ethiopian cities founded on Hills receive  Science and  Culture equal to 15% of their  Faith output. +4  Combat Strength for all units when fighting on hills.
Eleanor of Aquitaine,"Each Great Work in her cities causes foreign cities within 9 tiles to lose 1 Loyalty per turn. Any foreign city that leaves its civilization due to loss of Loyalty and is receiving the most Loyalty pressure from Eleanor instantly joins her empire, instead of becoming a Free City."
Hojo Tokimune,"+5  Combat Strength for land units and naval units fighting on coastal and shallow water tiles. Encampment, Holy Site and Theater Square districts are built in half the time. Districts, improvements and units are immune to damage from Hurricanes. +100% damage from Hurricanes in Japanese territory to civilizations at war with Japan."
Elizabeth I,+2  Trade Route capacity upon recruiting the first  Great Admiral.  Trade Routes to city-states gain +3  Gold for every specialty district at the origin city. +100% yields from plundering  Trade Routes.
Bà Triệu,"All units gain +5  Combat Strength when fighting in Rainforest, Marsh, and Woods tiles, and +1  Movement if they start their turn there. Both of these bonuses are doubled in tiles inside Vietnamese territory."
Philip II,Inquisitors can Remove Heresy one extra time and remove 100% of the presence of other religions. Combat and religious units have a bonus of +5  Combat Strength against players following other religions.
Abraham Lincoln,Industrial Zones grant +2  Amenities and +3 Loyalty per turn but Plantations give -2 Loyalty. Receives a free Melee unit after constructing Industrial Zones and their buildings. The free unit does not require resources when created or to maintain and receives +5  Combat Strength.
Gitarja,May purchase naval units with  Faith. Religious units pay no movement cost to embark or disembark. City Centers adjacent to Coast or Lake tiles gain +2  Faith.
Cyrus,+2  Movement for all units for the next 10 turns after declaring a Surprise War. Declaring a Surprise War only counts as a Formal War for the purpose of  Grievances and war weariness. Occupied cities have no penalties to their yields. +5 Loyalty per turn in occupied cities with a garrisoned unit.
Poundmaker,All Alliance types provide Shared Visibility.  Trade Routes grant +1  Food in the sending city and +1  Gold in the receiving city per Camp or Pasture in the receiving city.
Dido,"Cities with a Cothon gain the unique Move Capital project, which moves the  Capital to that city. Gains +1  Trade Route capacity after building the Government Plaza or any Government Plaza building. +50%  Production towards  Districts in the city with the Government Plaza."
Kublai Khan,Gains an additional  Economic policy slot in all Governments. Gains a random  Eureka and  Inspiration upon first establishing a  Trading Post in another major civilization's city.
Montezuma,Improved Luxury resources provide an  Amenity to 2 extra cities. Military units receive +1  Combat Strength for each different improved Luxury resource in Aztec territory.
Tamar,Gains  Faith from combat victories equal to 50% of the  Combat Strength of the defeated unit. Each  Envoy sent to a city-state of Georgia's majority Religion counts as two  Envoys.
Suleiman (Kanuni),"Has access to a unique Governor, Ibrahim, the Grand Vizier. Gains the Janissary unique unit and 1  Governor title with Gunpowder."
Sejong,"Upon completing the first technology from a new era, receives  Culture equal to double the current  Science output per turn."
Frederick Barbarossa,Gains an additional  Military policy slot in all Governments. +7  Combat Strength for all units when fighting city-states and their units.
Seondeok,Cities with an established Governor receive +3%  Culture and +3%  Science for each promotion that Governor has.
Lady Six Sky,"Non- Capital cities within 6 tiles of the  Capital gain +10% to all yields and receive a Builder when founded, while cities more than 6 tiles away receive -15% to all yields. +5  Combat Strength for all units within six tiles of the Mayan  Capital."
Amanitore,"+20%  Production towards  Districts, increasing to +40%  Production if there is a Nubian Pyramid adjacent to the City Center."
Tomyris,+5  Combat Strength for all units when attacking wounded units. Units heal up to 30 hit points after killing an enemy unit.
Ambiorix,"Receives  Culture equal to 20% of the  Production cost after training a non-civilian unit. Melee, ranged and anti-cavalry units receive +2  Combat Strength for each adjacent military unit."
Kupe,Starts the game in the Ocean. +2  Science and +2  Culture per turn before the first city is settled. Their first settled city receives a free Builder and +1  Population. The Palace grants +3  Housing and +1  Amenity.
Yongle,"All cities gain access to three unique Lijia projects, which can either convert 50% of their  Production into  Food or  Faith, or 100% of their  Production into  Gold. Cities with 10 or more  Population gain +2  Gold, +1  Science and +1  Culture for every  Population."
Jadwiga,"Taking territory from a foreign city with a Culture Bomb converts it to Poland's religion.  Relics grant +4  Gold, +2  Culture and +2  Faith. Holy Sites receive a +1 adjacency bonus from districts, instead of +0.5."
Pedro II,Recruiting or patronizing a  Great Person refunds 20% of their point cost.
Wu Zetian,"Receives a free Spy with Defensive Tactics and Spies can be purchased with  Faith. Spies operate as if 1 level more experienced. Upon completing a successful offensive espionage mission on a foreign city, receives 100% of the Science,  Faith and  Culture that city produced that turn."
Cleopatra (Egyptian),International  Trade Routes grant +4  Gold.  Trade Routes sent to Egypt from other civilizations provide +2  Food for them and +2  Gold for Egypt. +100% Alliance Points from trading with allies.
Theodora,Holy Sites provide  Culture equal to their adjacency bonus. Farms provide a +1  Faith adjacency to Hippodromes and Holy Sites.
Kristina,Buildings with at least three Great Work slots and wonders with at least two Great Work slots are automatically themed when all slots are filled. Gains the Queen's Bibliotheque unique building in the Government Plaza.
Jayavarman VII,"Holy Sites grant  Food equal to their adjacency bonus, receive a +2 adjacency bonus from Rivers, grant 2  Housing if built next to a River, and trigger a Culture Bomb when built, claiming surrounding tiles."
Genghis Khan,Cavalry class units gain +3  Combat Strength and have a chance to capture defeated cavalry class enemy units.
Hammurabi,"Upon building each type of specialty  District, except the Government Plaza, for the first time, instantly receives the building with the lowest  Production cost that can be built in that district. Upon building any other district for the first time, receives a free  Envoy."
Victoria (Age of Empire),The first city founded on each continent other than England's home continent grants a free melee unit in that city and +1  Trade Route capacity. Building a Royal Navy Dockyard grants a free naval unit. Gains the Redcoat unique unit with Military Science.
Basil II,Heavy and light cavalry units deal full damage when attacking cities following the same Religion as Byzantium. Gains the Tagma unique unit with Divine Right.
João III,+1  Sight for all units. Meeting another civilization grants +1  Trade Route capacity. Gains Open Borders with all city-states.
Pachacuti,Domestic  Trade Routes gain +1  Food for every Mountain tile in the origin city. Gains the Qhapaq Ñan unique improvement with Foreign Trade.
Nzinga Mbande,"Cities on the same continent as the  Capital (including the  Capital) receive +10% to all yields, while cities on another continent receive -15% to all yields."
Wilhelmina,Domestic  Trade Routes provide +2 Loyalty per turn for the starting city. +2  Culture for each  Trade Route sent to or received from a foreign civilization.
Matthias Corvinus,"Levied city-state units receive +2  Movement and +5  Combat Strength, and can be upgraded at a 75% discount in  Gold or resources. Levying troops from a city-state grants 2  Envoys with that city-state. Gains the Black Army unique unit with Castles."
Mvemba a Nzinga,"May not build Holy Sites or found a religion, but receives all the beliefs of any religion that has established itself as Kongo's majority religion, not just the Follower beliefs. Building a Mbanza or Theater Square grants a free Apostle of the city's majority religion."
Saladin (Vizier),"The Worship building for Arabia's Religion is 90% cheaper to purchase with  Faith. Arabian cities with that building gain +10%  Science,  Faith, and  Culture."
Teddy Roosevelt,+5  Combat Strength for all units inside America's home continent. +1 Appeal to all tiles in cities with a National Park. Gains the Rough Rider unique unit with Rifling.
Teddy Roosevelt (Rough Rider),+5  Combat Strength for all units inside America's home continent.  Envoys sent to city-states that America has a  Trade Route with count as two  Envoys. Gains the Rough Rider unique unit with Rifling.
Mansa Musa,International  Trade Routes gain +1  Gold for every flat Desert tile in the sending city. Entering a Golden Age permanently grants +1  Trade Route capacity.
Gandhi,+5  Faith for each met civilization (including India) that has founded a Religion and is not at war. Enemies receive double war weariness from fighting against Gandhi.
Sundiata Keita,Patronage of  Great People costs 20% less  Gold. Markets gain 2 slots for  Great Works of Writing.  Great Works of Writing grant +4  Gold and +2  Production.
Pericles,+5%  Culture per city-state Greece has Suzerainty over.
Ludwig II,"Wonders, even unfinished, receive a +2  Culture bonus from each adjacent  District. All  Culture adjacency bonuses provide  Tourism after researching Castles."
Lautaro,"+10  Combat Strength when fighting civilizations that are in a Golden or Heroic Age, or Free Cities. Defeating an enemy unit within the borders of an enemy city causes that city to lose 20 Loyalty, or 40 Loyalty if that civilization is in a Golden or Heroic Age."
Nader Shah,+5  Combat Strength for all units when attacking full health units. Cities not founded by Nader Shah gain +2  Faith and +3  Gold on domestic  Trade Routes.
Qin Shi Huang (Mandate of Heaven),Builders receive an additional build charge. Can spend Builder charges to complete 15% of the  Production cost for Ancient and Classical wonders. Unlocks Canals with Masonry instead of Steam Power.
Peter,"Trade Routes to more advanced civilizations grant Russia +1  Science for every three technologies that civilization is ahead of them, and +1  Culture for every three civics."
Wilfrid Laurier,"Can build Farms on Tundra tiles, and on Tundra Hills tiles with Civil Engineering. Snow, Snow Hills, Tundra Hills, and Tundra tiles cost 50% less  Gold to purchase. On those tiles, resources accumulate twice as fast, Mines and Lumber Mills receive +2  Production, and Camps and Farms receive +2  Food."
Suleiman (Muhteşem),+15%  Science and  Culture when in a  Golden Age or  Heroic Age. +4  Combat Strength when not in a  Golden Age or  Heroic Age against Civilizations who are also not in a  Golden Age or  Heroic Age.
Saladin (Sultan),+100% Flanking and Support bonus to all Combat and Religious units.
Gorgo,Killing a unit provides  Culture equal to 50% of its  Combat Strength. All units gain +1  Combat Strength for every active Military Policy card in the current government.
Qin Shi Huang (Unifier),"All land melee units gain access to the unique Convert Barbarians action, which consumes the unit to transform all adjacent Barbarian units into Chinese units."
Harald Hardrada (Konge),"+50%  Production toward naval melee units. All naval melee units gain the ability to perform Coastal Raids. Receive  Science in addition to  Gold when pillaging and coastal raiding Mines and  Culture in addition to  Faith when pillaging and coastal raiding Quarries, Pastures, Plantations, and Camps. Gains the Viking Longship unique unit with Sailing."
Alexander,Macedonian cities never incur war weariness. All military units heal completely when a city with a Wonder is captured. Gains the Hetairoi unique unit with Horseback Riding.
Trajan,All founded cities start with a free building in the City Center (a Monument if the game is started in the Ancient Era).
Harald Hardrada (Varangian),"Levying city-state units costs 75% less  Gold. All units pay 2 less maintenance. Killing a unit with a levied unit grants  Faith,  Culture, and  Science equal to 50% of the defeated unit's  Combat Strength. +1  Influence point per turn from each Stave Church."
Julius Caesar,"Gains 300  Gold after conquering a city for the first time, and after earning  Gold from a Barbarian Outpost. Both amounts become 500  Gold after researching Metal Casting and 700  Gold after Steel (on Standard speed). Units gain 5  Combat Strength and receive full experience when fighting Barbarians."
